file,obj,x,y
221106VIU_0054.fits,UCAC3296-11711,2631.265,1707.683
221106VIU_0054.fits,UCAC3296-11655,2783.645,1378.842
221106VIU_0054.fits,CGCS68,2975.464,1841.603
221106VIU_0055.fits,V1301Cas,1932.295,2111.323
221106VIU_0055.fits,UCAC3296-11711,2635.332,1711.304
221106VIU_0055.fits,UCAC3296-11655,2784.014,1377.99
221106VIU_0055.fits,CGCS68,2977.726,1844.368
221106VIU_0056.fits,V1301Cas,1932.714,2113
221106VIU_0056.fits,UCAC3296-11711,2635.584,1709.796
221106VIU_0056.fits,UCAC3296-11655,2785.189,1377.477
221106VIU_0056.fits,CGCS68,2978.325,1844.083
221106VIU_0057.fits,V1301Cas,1935.228,2112.371
221106VIU_0057.fits,UCAC3296-11711,2634.651,1707.329
221106VIU_0057.fits,UCAC3296-11655,2786.167,1380.047
221106VIU_0057.fits,CGCS68,2977.721,1842.575
221106VIU_0058.fits,V1301Cas,1935.856,2113.209
221106VIU_0058.fits,UCAC3296-11711,2637.667,1711.251
221106VIU_0058.fits,UCAC3296-11655,2789.84,1380.077
221106VIU_0058.fits,CGCS68,2979.94,1846.537
221106VIU_0059.fits,V1301Cas,1936.694,2113.628
221106VIU_0059.fits,UCAC3296-11711,2639.796,1710.834
221106VIU_0059.fits,UCAC3296-11655,2789.255,1378.725
221106VIU_0059.fits,CGCS68,2979.578,1845.451
221106VIU_0060.fits,V1301Cas,1938.579,2114.466
221106VIU_0060.fits,UCAC3296-11711,2641.969,1713.006
221106VIU_0060.fits,UCAC3296-11655,2789.568,1379.12
221106VIU_0060.fits,CGCS68,2981.659,1844.557
221106VIU_0061.fits,V1301Cas,1940.465,2116.142
221106VIU_0061.fits,UCAC3296-11711,2642.618,1713.395
221106VIU_0061.fits,UCAC3296-11655,2791.052,1381.566
221106VIU_0061.fits,CGCS68,2982.745,1847.091
221106VIU_0062.fits,V1301Cas,1941.722,2116.77
221106VIU_0062.fits,UCAC3296-11711,2643.623,1714.149
221106VIU_0062.fits,UCAC3296-11655,2793.731,1381.929
221106VIU_0062.fits,CGCS68,2984.304,1848.789
221106VIU_0063.fits,V1301Cas,1941.512,2117.608
221106VIU_0063.fits,UCAC3296-11711,2641.888,1717.657
221106VIU_0063.fits,UCAC3296-11655,2794.527,1386.759
221106VIU_0063.fits,CGCS68,2984.304,1848.789
221106VIU_0064.fits,V1301Cas,1941.093,2116.142
221106VIU_0064.fits,UCAC3296-11711,2641.888,1714.529
221106VIU_0064.fits,UCAC3296-11655,2795.366,1385.508
221106VIU_0064.fits,CGCS68,2985.345,1848.237
221106VIU_0065.fits,V1301Cas,1935.856,2115.513
221106VIU_0065.fits,UCAC3296-11711,2643.817,1715.445
221106VIU_0065.fits,UCAC3296-11655,2790.554,1383.704
221106VIU_0065.fits,CGCS68,2982.449,1847.875
221106VIU_0066.fits,V1301Cas,1929.362,2112.371
221106VIU_0066.fits,UCAC3296-11711,2632.958,1711.101
221106VIU_0066.fits,UCAC3296-11655,2782.387,1379.04
221106VIU_0066.fits,CGCS68,2975.462,1843.607
221106VIU_0067.fits,V1301Cas,1928.315,2113.209
221106VIU_0067.fits,UCAC3296-11711,2630.311,1711.324
221106VIU_0067.fits,UCAC3296-11655,2783.823,1380.747
221106VIU_0067.fits,CGCS68,2972.445,1845.115
221106VIU_0068.fits,V1301Cas,1928.524,2114.047
221106VIU_0068.fits,UCAC3296-11711,2632.917,1713.062
221106VIU_0068.fits,UCAC3296-11655,2782.444,1381.893
221106VIU_0068.fits,CGCS68,2974.128,1845.491
221106VIU_0069.fits,V1301Cas,1928.524,2116.351
221106VIU_0069.fits,UCAC3296-11711,2630.709,1714.152
221106VIU_0069.fits,UCAC3296-11655,2783.464,1381.953
221106VIU_0069.fits,CGCS68,2974.128,1846.013
221106VIU_0070.fits,V1301Cas,1931.457,2118.027
221106VIU_0070.fits,UCAC3296-11711,2632.218,1716.414
221106VIU_0070.fits,UCAC3296-11655,2784.026,1384.985
221106VIU_0070.fits,CGCS68,2976.74,1849.177
221106VIU_0071.fits,V1301Cas,1929.362,2119.284
221106VIU_0071.fits,UCAC3296-11711,2630.449,1716.696
221106VIU_0071.fits,UCAC3296-11655,2783.144,1388.461
221106VIU_0071.fits,CGCS68,2975.292,1852.435
221106VIU_0072.fits,V1301Cas,1928.315,2122.217
